"id","label","type"
"app:web","Customer Web","app"
"app:chef-admin","Chef Admin","app"
"app:driver-app","Driver App","app"
"app:ops-admin","Ops Admin","app"
"app:packages","Shared Packages","app"
"table:chef_profiles","chef_profiles","supabase_table"
"table:chef_kitchens","chef_kitchens","supabase_table"
"table:chef_storefronts","chef_storefronts","supabase_table"
"table:chef_documents","chef_documents","supabase_table"
"table:chef_payout_accounts","chef_payout_accounts","supabase_table"
"table:chef_availability","chef_availability","supabase_table"
"table:chef_delivery_zones","chef_delivery_zones","supabase_table"
"table:menu_categories","menu_categories","supabase_table"
"table:menu_items","menu_items","supabase_table"
"table:menu_item_options","menu_item_options","supabase_table"
"table:menu_item_option_values","menu_item_option_values","supabase_table"
"table:menu_item_availability","menu_item_availability","supabase_table"
"table:customers","customers","supabase_table"
"table:customer_addresses","customer_addresses","supabase_table"
"table:carts","carts","supabase_table"
"table:cart_items","cart_items","supabase_table"
"table:favorites","favorites","supabase_table"
"table:orders","orders","supabase_table"
"table:order_items","order_items","supabase_table"
"table:order_item_modifiers","order_item_modifiers","supabase_table"
"table:order_status_history","order_status_history","supabase_table"
"table:reviews","reviews","supabase_table"
"table:promo_codes","promo_codes","supabase_table"
"table:support_tickets","support_tickets","supabase_table"
"table:drivers","drivers","supabase_table"
"table:driver_documents","driver_documents","supabase_table"
"table:driver_vehicles","driver_vehicles","supabase_table"
"table:driver_shifts","driver_shifts","supabase_table"
"table:driver_presence","driver_presence","supabase_table"
"table:driver_locations","driver_locations","supabase_table"
"table:driver_earnings","driver_earnings","supabase_table"
"table:driver_payouts","driver_payouts","supabase_table"
"table:deliveries","deliveries","supabase_table"
"table:delivery_assignments","delivery_assignments","supabase_table"
"table:delivery_events","delivery_events","supabase_table"
"table:delivery_tracking_events","delivery_tracking_events","supabase_table"
"table:platform_users","platform_users","supabase_table"
"table:admin_notes","admin_notes","supabase_table"
"table:notifications","notifications","supabase_table"
"table:audit_logs","audit_logs","supabase_table"
"table:payout_runs","payout_runs","supabase_table"
"table:platform_settings","platform_settings","supabase_table"
"table:push_subscriptions","push_subscriptions","supabase_table"
"table:chef_payouts","chef_payouts","supabase_table"
"table:domain_events","domain_events","supabase_table"
"table:order_exceptions","order_exceptions","supabase_table"
"table:sla_timers","sla_timers","supabase_table"
"table:kitchen_queue_entries","kitchen_queue_entries","supabase_table"
"table:ledger_entries","ledger_entries","supabase_table"
"table:assignment_attempts","assignment_attempts","supabase_table"
"table:ops_override_logs","ops_override_logs","supabase_table"
"table:refund_cases","refund_cases","supabase_table"
"table:payout_adjustments","payout_adjustments","supabase_table"
"table:storefront_state_changes","storefront_state_changes","supabase_table"
"table:system_alerts","system_alerts","supabase_table"
"table:analytics_events","analytics_events","supabase_table"
"table:stripe_events_processed","stripe_events_processed","supabase_table"
"table:checkout_idempotency_keys","checkout_idempotency_keys","supabase_table"
"table:platform_accounts","platform_accounts","supabase_table"
"table:stripe_reconciliation","stripe_reconciliation","supabase_table"
"table:service_areas","service_areas","supabase_table"
"table:instant_payout_requests","instant_payout_requests","supabase_table"
"table:ops_processor_runs","ops_processor_runs","supabase_table"
"table:driver_payout_accounts","driver_payout_accounts","supabase_table"
"table:loyalty_accounts","loyalty_accounts","supabase_table"
"table:loyalty_transactions","loyalty_transactions","supabase_table"
"table:referral_codes","referral_codes","supabase_table"
"table:referral_signups","referral_signups","supabase_table"
"table:promo_code_usages","promo_code_usages","supabase_table"
"rpc:update_updated_at_column","update_updated_at_column","supabase_rpc"
"rpc:is_ops_admin","is_ops_admin","supabase_rpc"
"rpc:get_chef_id","get_chef_id","supabase_rpc"
"rpc:get_customer_id","get_customer_id","supabase_rpc"
"rpc:get_driver_id","get_driver_id","supabase_rpc"
"rpc:populate_order_item_name","populate_order_item_name","supabase_rpc"
"rpc:log_audit_change","log_audit_change","supabase_rpc"
"rpc:increment_queue_size","increment_queue_size","supabase_rpc"
"rpc:decrement_queue_size","decrement_queue_size","supabase_rpc"
"rpc:increment_order_exception_count","increment_order_exception_count","supabase_rpc"
"rpc:get_orders_needing_dispatch","get_orders_needing_dispatch","supabase_rpc"
"rpc:get_available_drivers_near","get_available_drivers_near","supabase_rpc"
"rpc:get_ops_dashboard_stats","get_ops_dashboard_stats","supabase_rpc"
"rpc:get_order_timeline","get_order_timeline","supabase_rpc"
"rpc:get_financial_summary","get_financial_summary","supabase_rpc"
"rpc:sync_order_status_history","sync_order_status_history","supabase_rpc"
"rpc:sync_driver_presence_location","sync_driver_presence_location","supabase_rpc"
"rpc:sync_notification_body","sync_notification_body","supabase_rpc"
"rpc:sync_promo_code_fields","sync_promo_code_fields","supabase_rpc"
"rpc:increment_promo_usage","increment_promo_usage","supabase_rpc"
"rpc:sync_kitchen_address","sync_kitchen_address","supabase_rpc"
"rpc:orders_public_stage_from_engine","orders_public_stage_from_engine","supabase_rpc"
"rpc:orders_sync_public_stage_from_engine","orders_sync_public_stage_from_engine","supabase_rpc"
"rpc:ledger_entries_touch_platform_accounts","ledger_entries_touch_platform_accounts","supabase_rpc"
"rpc:is_platform_staff","is_platform_staff","supabase_rpc"
"rpc:is_finance_staff","is_finance_staff","supabase_rpc"
"rpc:is_support_staff","is_support_staff","supabase_rpc"
"rpc:update_loyalty_account_updated_at","update_loyalty_account_updated_at","supabase_rpc"
"rpc:public.get_ops_dashboard_stats","public.get_ops_dashboard_stats","missing_rpc_reference"
"rpc:public.increment_promo_usage","public.increment_promo_usage","missing_rpc_reference"
"rpc:public.increment_order_exception_count","public.increment_order_exception_count","missing_rpc_reference"
